Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1551155120178,23.0,0.014121056,0.034606226,-0.047604084,0.011779785,-0.0110321045,0.010269165,0.31659347,-0.48381522,0.44261286,0.68540883,0.17453292
1551155120279,23.0,-0.12678623,-0.2270289,4.5490265E-4,0.109298706,-0.008895874,-0.07601929,0.33263743,-0.4589855,0.46418056,0.68060344,0.17453292
1551155120379,22.0,-0.12678623,-0.2270289,4.5490265E-4,0.109298706,-0.008895874,-0.07601929,0.33263743,-0.4589855,0.46418056,0.68060344,0.17453292
1551155120479,22.0,0.08073616,0.04421997,0.09028077,-0.0022277832,0.07067871,0.031097412,0.32138503,-0.4524195,0.47072196,0.68589294,0.17453292
1551155120580,22.0,0.08073616,0.04421997,0.09028077,-0.0022277832,0.07067871,0.031097412,0.32138503,-0.4524195,0.47072196,0.68589294,0.17453292
1551155120679,21.0,-0.12630558,-0.059511118,0.7475257,-0.15919495,-0.26168823,0.013031006,0.3194241,-0.47801626,0.4542066,0.6805623,0.17453292
1551155120779,15.0,-0.12630558,-0.059511118,0.7475257,-0.15919495,-0.26168823,0.013031006,0.3194241,-0.47801626,0.4542066,0.6805623,0.17453292
1551155120879,3.0,0.39342403,0.58260334,1.7869923,-0.22897339,-0.48997498,0.39259338,0.30279016,-0.5315157,0.4503982,0.6503465,0.17453292
1551155120979,354.0,0.39342403,0.58260334,1.7869923,-0.22897339,-0.48997498,0.39259338,0.30279016,-0.5315157,0.4503982,0.6503465,0.17453292
1551155121079,337.0,0.1313219,1.264712,1.6184502,-0.47457886,-0.434906,0.3652649,0.26794887,-0.58899814,0.42939678,0.63000244,0.17453292
1551155121182,338.0,0.1313219,1.264712,1.6184502,-0.47457886,-0.434906,0.3652649,0.26794887,-0.58899814,0.42939678,0.63000244,0.17453292
1551155121283,345.0,-1.1106119,-0.10026705,0.23755276,-0.4844818,-0.09049988,-0.2593994,0.256641,-0.6070412,0.38251498,0.6475482,0.17453292
1551155121384,28.0,-1.1106119,-0.10026705,0.23755276,-0.4844818,-0.09049988,-0.2593994,0.256641,-0.6070412,0.38251498,0.6475482,0.17453292
