Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550913026633,278.0,-0.22603363,-0.06631786,0.16746044,0.036010742,-0.08200073,0.01184082,-0.025533302,0.042067535,0.9969178,0.061101194,0.2617994
1550913026733,256.0,-0.19546884,-0.6460586,0.29354382,0.07447815,-0.034332275,1.3283386,0.052326486,-0.040002495,-0.99315155,0.096497625,0.2617994
1550913026834,256.0,-0.19546884,-0.6460586,0.29354382,0.07447815,-0.034332275,1.3283386,0.052326486,-0.040002495,-0.99315155,0.096497625,0.2617994
1550913026935,256.0,0.01839292,-0.23605537,-0.019561768,0.10482788,0.0024719238,-0.026672363,0.055443686,-0.058588497,-0.99202967,0.096801236,0.2617994
1550913027034,254.0,0.01839292,-0.23605537,-0.019561768,0.10482788,0.0024719238,-0.026672363,0.055443686,-0.058588497,-0.99202967,0.096801236,0.2617994
1550913027134,242.0,0.20301819,-0.49868274,0.4167595,0.14797974,0.17025757,1.2265625,0.06386671,-0.07729558,-0.972261,0.21131729,0.2617994
1550913027235,212.0,0.20301819,-0.49868274,0.4167595,0.14797974,0.17025757,1.2265625,0.06386671,-0.07729558,-0.972261,0.21131729,0.2617994
1550913027336,194.0,-1.4184008,-0.28312588,0.0018253326,-0.4508667,-0.014892578,4.076462,0.017725356,-0.052648466,-0.8153545,0.57629067,0.2617994
1550913027437,170.0,-1.4184008,-0.28312588,0.0018253326,-0.4508667,-0.014892578,4.076462,0.017725356,-0.052648466,-0.8153545,0.57629067,0.2617994
1550913027538,149.0,-0.4281659,0.17819858,0.15025043,0.40779114,0.024475098,4.226074,0.024646545,-0.08192264,-0.5060364,0.8582589,0.2617994
1550913027639,142.0,-0.4281659,0.17819858,0.15025043,0.40779114,0.024475098,4.226074,0.024646545,-0.08192264,-0.5060364,0.8582589,0.2617994
1550913027740,140.0,0.65607476,-1.3044248,0.15505028,0.65164185,0.06048584,1.0538788,0.069904365,-0.11019564,-0.42843366,0.89410007,0.2617994
1550913027839,141.0,0.65607476,-1.3044248,0.15505028,0.65164185,0.06048584,1.0538788,0.069904365,-0.11019564,-0.42843366,0.89410007,0.2617994
1550913027939,137.0,-0.31621766,2.066228,-0.1597786,-1.0863495,0.20237732,0.7152405,-0.02331079,-0.053064868,-0.37080446,0.9269006,0.2617994
1550913028039,137.0,-0.31621766,2.066228,-0.1597786,-1.0863495,0.20237732,0.7152405,-0.02331079,-0.053064868,-0.37080446,0.9269006,0.2617994
1550913028140,138.0,0.09522009,0.578874,0.3360052,-0.1594696,-0.07672119,0.30500793,-0.042229157,-0.052898794,-0.36598852,0.9281545,0.2617994
1550913028240,133.0,0.09522009,0.578874,0.3360052,-0.1594696,-0.07672119,0.30500793,-0.042229157,-0.052898794,-0.36598852,0.9281545,0.2617994
1550913028341,129.0,-1.5335784,-0.014239371,0.23009586,-0.10273743,-0.7636566,0.7536926,-0.085367374,-0.11039152,-0.31789282,0.93780077,0.2617994
1550913028442,114.0,-1.5335784,-0.014239371,0.23009586,-0.10273743,-0.7636566,0.7536926,-0.085367374,-0.11039152,-0.31789282,0.93780077,0.2617994
1550913028541,96.0,-0.24625564,1.8758981,0.942996,-0.65182495,-0.5638733,2.8115692,-0.18942277,-0.10987613,-0.059809525,0.97389376,0.2617994
1550913028642,75.0,-0.24625564,1.8758981,0.942996,-0.65182495,-0.5638733,2.8115692,-0.18942277,-0.10987613,-0.059809525,0.97389376,0.2617994
1550913028741,54.0,2.7641895,-0.33848596,-0.07083416,0.7570343,-0.30186462,4.438751,-0.14837964,-0.049040236,0.3758509,0.9134083,0.2617994
1550913028841,31.0,2.7641895,-0.33848596,-0.07083416,0.7570343,-0.30186462,4.438751,-0.14837964,-0.049040236,0.3758509,0.9134083,0.2617994
1550913028941,18.0,1.8195786,-1.0555344,-0.45925617,0.13822937,-0.5428314,3.40242,-0.11966672,-0.046795513,0.6602743,0.73995125,0.2617994
1550913029042,359.0,1.8195786,-1.0555344,-0.45925617,0.13822937,-0.5428314,3.40242,-0.11966672,-0.046795513,0.6602743,0.73995125,0.2617994
1550913029143,356.0,0.1460973,-1.5392649,-0.037299156,0.59181213,-0.069107056,2.1583405,-0.083696984,0.011568191,0.80610436,0.5857105,0.2617994
1550913029242,354.0,0.1460973,-1.5392649,-0.037299156,0.59181213,-0.069107056,2.1583405,-0.083696984,0.011568191,0.80610436,0.5857105,0.2617994
1550913029342,352.0,-1.111159,0.34071475,-0.036914825,0.16859436,-0.27001953,0.42303467,-0.052758597,0.016533654,0.82794875,0.55807173,0.2617994
1550913029442,351.0,-1.111159,0.34071475,-0.036914825,0.16859436,-0.27001953,0.42303467,-0.052758597,0.016533654,0.82794875,0.55807173,0.2617994
1550913029542,350.0,0.18370032,0.22619945,-0.11892319,-0.085739136,-0.032043457,0.25813293,-0.053613856,0.0094433185,0.8385747,0.54205984,0.2617994
