Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550905822718,122.0,-0.008295596,-0.006907046,5.7697296E-4,0.0022277832,-0.003692627,2.746582E-4,0.042461965,0.01552621,-0.2718062,0.9612894,0.2617994
1550905822818,120.0,-0.0063034296,-2.3335218E-4,5.1784515E-4,2.593994E-4,-7.6293945E-4,0.0,0.04236587,0.016096609,-0.26391438,0.9634808,0.2617994
1550905822918,121.0,-0.0063034296,-2.3335218E-4,5.1784515E-4,2.593994E-4,-7.6293945E-4,0.0,0.04236587,0.016096609,-0.26391438,0.9634808,0.2617994
1550905823019,120.0,-0.0063034296,-2.3335218E-4,5.1784515E-4,4.7302246E-4,-0.0010223389,-3.2043457E-4,0.04236587,0.016096609,-0.26391438,0.9634808,0.2617994
1550905823119,120.0,-0.0063034296,-2.3335218E-4,5.1784515E-4,4.7302246E-4,-0.0010223389,-3.2043457E-4,0.04236587,0.016096609,-0.26391438,0.9634808,0.2617994
1550905823219,120.0,0.0,0.0,-0.0,5.79834E-4,-8.087158E-4,0.0,0.0423788,0.016461253,-0.2606742,0.96435577,0.2617994
1550905823319,119.0,0.0,0.0,-0.0,5.79834E-4,-8.087158E-4,0.0,0.0423788,0.016461253,-0.2606742,0.96435577,0.2617994
1550905823420,119.0,-2.0205975E-5,0.0012207031,-0.0021762848,2.1362305E-4,-6.1035156E-4,2.1362305E-4,0.04235985,0.016624175,-0.25518364,0.9658212,0.2617994
1550905823520,119.0,-2.0205975E-5,0.0012207031,-0.0021762848,2.1362305E-4,-6.1035156E-4,2.1362305E-4,0.04235985,0.016624175,-0.25518364,0.9658212,0.2617994
1550905823620,119.0,-0.0011683702,1.4442205E-4,-0.0013475418,3.6621094E-4,-0.0013427734,3.8146973E-4,0.04230542,0.016690506,-0.25106895,0.9669002,0.2617994
1550905823720,119.0,-0.0011683702,1.4442205E-4,-0.0013475418,3.6621094E-4,-0.0013427734,3.8146973E-4,0.04230542,0.016690506,-0.25106895,0.9669002,0.2617994
1550905823820,118.0,-0.02088201,-0.0073435903,0.0016450882,0.0051574707,-0.012008667,6.4086914E-4,0.04239162,0.016112877,-0.24735986,0.9678618,0.2617994
1550905823921,118.0,-0.02088201,-0.0073435903,0.0016450882,0.0051574707,-0.012008667,6.4086914E-4,0.04239162,0.016112877,-0.24735986,0.9678618,0.2617994
1550905824021,118.0,-0.02088201,-0.0073435903,0.0016450882,0.0051574707,-0.012008667,6.4086914E-4,0.04239162,0.016112877,-0.24735986,0.9678618,0.2617994
1550905824122,118.0,-0.02088201,-0.0073435903,0.0016450882,0.0051574707,-0.012008667,6.4086914E-4,0.04239162,0.016112877,-0.24735986,0.9678618,0.2617994
