Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550907410323,138.0,-0.007910967,-0.006123662,-0.0010881424,0.0031280518,-0.007461548,-0.0011749268,0.037021045,0.010904981,-0.42310944,0.9052563,0.2617994
1550907410423,137.0,0.0020942092,0.0015637875,5.302429E-4,-6.1035156E-5,7.9345703E-4,-1.0681152E-4,0.036884636,0.012348494,-0.40441504,0.9137481,0.2617994
1550907410523,138.0,0.0020942092,0.0015637875,5.302429E-4,-6.1035156E-5,7.9345703E-4,-1.0681152E-4,0.036884636,0.012348494,-0.40441504,0.9137481,0.2617994
1550907410623,137.0,-4.222393E-4,-0.0020387769,0.0019044876,-2.2888184E-4,-6.1035156E-5,3.6621094E-4,0.036889117,0.012079712,-0.41185975,0.9104201,0.2617994
1550907410724,137.0,-4.222393E-4,-0.0020387769,0.0019044876,-2.2888184E-4,-6.1035156E-5,3.6621094E-4,0.036889117,0.012079712,-0.41185975,0.9104201,0.2617994
1550907410825,136.0,0.001642406,0.0021683574,0.0014133453,-1.2207031E-4,0.0,-1.5258789E-4,0.036746774,0.012508078,-0.3998572,0.91575515,0.2617994
1550907410925,136.0,0.001642406,0.0021683574,0.0014133453,-1.2207031E-4,0.0,-1.5258789E-4,0.036746774,0.012508078,-0.3998572,0.91575515,0.2617994
1550907411026,135.0,0.0011947751,0.003783524,-0.0019960403,-3.3569336E-4,-6.4086914E-4,2.1362305E-4,0.03665957,0.012719586,-0.39175975,0.91924894,0.2617994
1550907411125,134.0,0.0011947751,0.003783524,-0.0019960403,-3.3569336E-4,-6.4086914E-4,2.1362305E-4,0.03665957,0.012719586,-0.39175975,0.91924894,0.2617994
1550907411225,134.0,-8.432865E-4,3.4457445E-4,-7.2193146E-4,-1.6784668E-4,-2.746582E-4,1.0681152E-4,0.036651295,0.012716713,-0.39176223,0.9192482,0.2617994
1550907411325,133.0,-8.432865E-4,3.4457445E-4,-7.2193146E-4,-1.6784668E-4,-2.746582E-4,1.0681152E-4,0.036651295,0.012716713,-0.39176223,0.9192482,0.2617994
1550907411426,132.0,-8.248687E-4,0.0031207204,-0.0059375763,-1.2207031E-4,-2.1362305E-4,-3.6621094E-4,0.0367208,0.01270267,-0.39160264,0.91931367,0.2617994
1550907411526,132.0,-8.248687E-4,0.0031207204,-0.0059375763,-1.2207031E-4,-2.1362305E-4,-3.6621094E-4,0.0367208,0.01270267,-0.39160264,0.91931367,0.2617994
1550907411626,131.0,5.736947E-4,-6.495118E-4,0.0012845993,-3.5095215E-4,0.0,-6.1035156E-5,0.036666173,0.01270538,-0.3916978,0.9192753,0.2617994
1550907411727,130.0,5.736947E-4,-6.495118E-4,0.0012845993,-3.5095215E-4,0.0,-6.1035156E-5,0.036666173,0.01270538,-0.3916978,0.9192753,0.2617994
1550907411827,130.0,0.0017719865,-0.00119102,0.0046663284,-2.89917E-4,1.0681152E-4,4.272461E-4,0.03659122,0.012688656,-0.39175415,0.9192545,0.2617994
1550907411928,130.0,0.0017719865,-0.00119102,0.0046663284,-2.89917E-4,1.0681152E-4,4.272461E-4,0.03659122,0.012688656,-0.39175415,0.9192545,0.2617994
1550907412028,129.0,-9.613633E-4,2.6744604E-4,0.0014896393,3.0517578E-5,-5.340576E-4,1.0681152E-4,0.03658497,0.012659982,-0.39165968,0.9192954,0.2617994
1550907412128,129.0,-9.613633E-4,2.6744604E-4,0.0014896393,3.0517578E-5,-5.340576E-4,1.0681152E-4,0.03658497,0.012659982,-0.39165968,0.9192954,0.2617994
1550907412228,129.0,-0.0026058555,-2.5081635E-4,0.0022535324,1.8310547E-4,-3.6621094E-4,5.340576E-4,0.036605008,0.012676105,-0.39168698,0.91928273,0.2617994
1550907412329,129.0,-0.0026058555,-2.5081635E-4,0.0022535324,1.8310547E-4,-3.6621094E-4,5.340576E-4,0.036605008,0.012676105,-0.39168698,0.91928273,0.2617994
1550907412428,129.0,0.005065024,8.44419E-4,-0.0068655014,7.6293945E-5,0.0011749268,1.0681152E-4,0.03663954,0.0126621965,-0.39158246,0.91932607,0.2617994
1550907412529,129.0,0.005065024,8.44419E-4,-0.0068655014,7.6293945E-5,0.0011749268,1.0681152E-4,0.03663954,0.0126621965,-0.39158246,0.91932607,0.2617994
1550907412628,129.0,0.005065024,8.44419E-4,-0.0068655014,7.6293945E-5,0.0011749268,1.0681152E-4,0.03663954,0.0126621965,-0.39158246,0.91932607,0.2617994
1550907412729,129.0,0.005065024,8.44419E-4,-0.0068655014,7.6293945E-5,0.0011749268,1.0681152E-4,0.03663954,0.0126621965,-0.39158246,0.91932607,0.2617994
