Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550909435939,312.0,0.32180595,0.01137352,-0.09383321,-0.23077393,-0.20977783,-0.004837036,0.12473737,0.5303724,0.77030194,0.33133167,0.2617994
1550909436039,314.0,0.32180595,0.01137352,-0.09383321,-0.23077393,-0.20977783,-0.004837036,0.12473737,0.5303724,0.77030194,0.33133167,0.2617994
1550909436140,319.0,0.32180595,0.01137352,-0.09383321,-0.23077393,-0.20977783,-0.004837036,0.12473737,0.5303724,0.77030194,0.33133167,0.2617994
1550909436241,325.0,-0.06962508,0.85196877,-1.1064868,-0.6964569,-0.91822815,-0.2693329,0.18951662,0.3576122,0.7801996,0.47695446,0.2617994
1550909436341,330.0,-0.06962508,0.85196877,-1.1064868,-0.6964569,-0.91822815,-0.2693329,0.18951662,0.3576122,0.7801996,0.47695446,0.2617994
1550909436442,335.0,-0.580426,1.849515,1.0722876,-0.21464539,-0.9951477,-0.35136414,0.24159588,0.3018423,0.7545192,0.530305,0.2617994
1550909436542,340.0,-0.580426,1.849515,1.0722876,-0.21464539,-0.9951477,-0.35136414,0.24159588,0.3018423,0.7545192,0.530305,0.2617994
1550909436643,344.0,-1.043353,0.35235786,2.3268638,1.0441895,-0.81681824,-0.33106995,0.33618113,0.34726456,0.6910488,0.5374394,0.2617994
1550909436742,348.0,-1.043353,0.35235786,2.3268638,1.0441895,-0.81681824,-0.33106995,0.33618113,0.34726456,0.6910488,0.5374394,0.2617994
1550909436843,352.0,-0.3164037,-0.7824669,1.9784241,1.5609894,-0.5569,-0.36158752,0.43285635,0.4349005,0.59794384,0.5157132,0.2617994
1550909436942,356.0,-0.3164037,-0.7824669,1.9784241,1.5609894,-0.5569,-0.36158752,0.43285635,0.4349005,0.59794384,0.5157132,0.2617994
1550909437043,1.0,0.36040723,-1.8794231,0.18059647,1.0723114,-0.6594238,-0.4645996,0.504081,0.48023513,0.49269435,0.52204293,0.2617994
