Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550909969248,39.0,-0.17191464,0.551496,0.16104221,0.11042786,-0.008712769,-0.054214478,0.8862818,0.3788326,0.080293,0.2540542,0.2617994
1550909969348,38.0,-0.17191464,0.551496,0.16104221,0.11042786,-0.008712769,-0.054214478,0.8862818,0.3788326,0.080293,0.2540542,0.2617994
1550909969448,37.0,-0.17191464,0.551496,0.16104221,0.11042786,-0.008712769,-0.054214478,0.8862818,0.3788326,0.080293,0.2540542,0.2617994
1550909969549,35.0,-0.17191464,0.551496,0.16104221,0.10542297,0.45361328,0.048431396,0.8862818,0.3788326,0.080293,0.2540542,0.2617994
1550909969649,35.0,-0.17191464,0.551496,0.16104221,0.10542297,0.45361328,0.048431396,0.8862818,0.3788326,0.080293,0.2540542,0.2617994
1550909969750,34.0,0.0,0.0,-0.0,-0.039352417,0.38645935,0.03996277,0.8913674,0.37225494,0.1280388,0.2247144,0.2617994
1550909969850,35.0,0.0,0.0,-0.0,-0.039352417,0.38645935,0.03996277,0.8913674,0.37225494,0.1280388,0.2247144,0.2617994
1550909969950,37.0,-0.18727708,0.093719006,0.0772295,0.18585205,0.39178467,0.4028473,0.90188354,0.35029936,0.15955809,0.19605517,0.2617994
1550909970051,44.0,-0.18727708,0.093719006,0.0772295,0.18585205,0.39178467,0.4028473,0.90188354,0.35029936,0.15955809,0.19605517,0.2617994
1550909970152,54.0,-0.06920552,0.3693962,0.10342121,0.07356262,-0.16125488,1.3922119,0.941397,0.23094074,0.17015964,0.17743671,0.2617994
1550909970251,58.0,-0.06920552,0.3693962,0.10342121,0.07356262,-0.16125488,1.3922119,0.941397,0.23094074,0.17015964,0.17743671,0.2617994
1550909970352,64.0,0.32744527,-0.5066166,-0.15390205,-0.3710785,-0.08578491,0.9687195,0.95337415,0.14063331,0.19212109,0.18544395,0.2617994
1550909970451,68.0,0.32744527,-0.5066166,-0.15390205,-0.3710785,-0.08578491,0.9687195,0.95337415,0.14063331,0.19212109,0.18544395,0.2617994
1550909970551,71.0,-0.05569029,-0.6610813,-0.27247047,-0.23280334,-0.0756073,0.6639404,0.9590981,0.076056734,0.1995826,0.18577658,0.2617994
1550909970651,72.0,-0.05569029,-0.6610813,-0.27247047,-0.23280334,-0.0756073,0.6639404,0.9590981,0.076056734,0.1995826,0.18577658,0.2617994
1550909970751,77.0,0.24592233,-0.18634224,-0.055189133,-0.14816284,-0.07550049,0.4142456,0.9595851,0.043288235,0.20547393,0.18735823,0.2617994
1550909970851,89.0,0.24592233,-0.18634224,-0.055189133,-0.14816284,-0.07550049,0.4142456,0.9595851,0.043288235,0.20547393,0.18735823,0.2617994
1550909970952,102.0,-1.1519523,0.7565274,-0.034249306,-0.08883667,0.069747925,2.0101166,0.9464832,-0.15394239,0.23620768,0.15708993,0.2617994
1550909971053,113.0,-1.1519523,0.7565274,-0.034249306,-0.08883667,0.069747925,2.0101166,0.9464832,-0.15394239,0.23620768,0.15708993,0.2617994
1550909971153,121.0,0.23070621,0.74651605,0.21926975,0.007736206,0.026290894,1.5696259,0.91342664,-0.2868295,0.2627629,0.11973408,0.2617994
1550909971254,129.0,0.23070621,0.74651605,0.21926975,0.007736206,0.026290894,1.5696259,0.91342664,-0.2868295,0.2627629,0.11973408,0.2617994
1550909971354,136.0,0.8683047,-0.14696664,0.4005289,-0.19717407,-0.31822205,1.2661285,0.8829948,-0.38824156,0.24830557,0.08906759,0.2617994
1550909971454,139.0,0.8683047,-0.14696664,0.4005289,-0.19717407,-0.31822205,1.2661285,0.8829948,-0.38824156,0.24830557,0.08906759,0.2617994
1550909971555,141.0,-0.08650303,-0.24734306,0.19672394,0.108566284,-0.2003479,0.5942688,0.87135404,-0.4239628,0.24165753,0.05098364,0.2617994
1550909971655,144.0,-0.08650303,-0.24734306,0.19672394,0.108566284,-0.2003479,0.5942688,0.87135404,-0.4239628,0.24165753,0.05098364,0.2617994
1550909971756,148.0,0.19614553,-0.49096406,-0.14055252,-0.0028686523,-0.23864746,0.6501465,0.8543423,-0.46799514,0.22513339,0.019868132,0.2617994
1550909971857,149.0,0.19614553,-0.49096406,-0.14055252,-0.0028686523,-0.23864746,0.6501465,0.8543423,-0.46799514,0.22513339,0.019868132,0.2617994
1550909971958,150.0,-0.21708298,-0.16226625,-0.122365,0.2705841,0.11715698,0.26441956,-0.84435874,0.4750208,-0.24770594,0.007438767,0.2617994
1550909972059,151.0,-0.21708298,-0.16226625,-0.122365,0.2705841,0.11715698,0.26441956,-0.84435874,0.4750208,-0.24770594,0.007438767,0.2617994
1550909972159,154.0,-0.14078522,-0.28994727,-0.022259712,0.038253784,-0.008285522,0.39575195,-0.83071154,0.49776343,-0.2480111,0.025306758,0.2617994
1550909972260,158.0,-0.14078522,-0.28994727,-0.022259712,0.038253784,-0.008285522,0.39575195,-0.83071154,0.49776343,-0.2480111,0.025306758,0.2617994
1550909972360,161.0,-0.16535354,-1.7418883,0.22903728,-0.9312439,-0.1592865,0.73046875,0.804601,-0.5630613,0.18788211,0.016718833,0.2617994
1550909972461,164.0,-0.16535354,-1.7418883,0.22903728,-0.9312439,-0.1592865,0.73046875,0.804601,-0.5630613,0.18788211,0.016718833,0.2617994
1550909972562,168.0,-0.29922104,0.1634531,-0.027440071,0.3390808,-0.058776855,0.7119293,-0.76707035,0.6080122,-0.20281042,0.02814543,0.2617994
1550909972661,173.0,-0.29922104,0.1634531,-0.027440071,0.3390808,-0.058776855,0.7119293,-0.76707035,0.6080122,-0.20281042,0.02814543,0.2617994
1550909972762,176.0,-0.02639246,-0.1541071,0.014334679,0.14334106,-0.13339233,1.0349731,-0.7112311,0.6711946,-0.19623315,0.07169825,0.2617994
1550909972863,181.0,-0.02639246,-0.1541071,0.014334679,0.14334106,-0.13339233,1.0349731,-0.7112311,0.6711946,-0.19623315,0.07169825,0.2617994
1550909972962,183.0,1.2404063,-0.0067276955,-0.6274471,0.35154724,-0.6627197,1.0473328,-0.6550424,0.7198444,-0.16420552,0.1605614,0.2617994
1550909973063,185.0,1.2404063,-0.0067276955,-0.6274471,0.35154724,-0.6627197,1.0473328,-0.6550424,0.7198444,-0.16420552,0.1605614,0.2617994
1550909973163,186.0,0.38758194,0.39090014,-0.3506651,0.09535217,-0.3784027,0.56503296,-0.6263126,0.7406469,-0.13395645,0.20305271,0.2617994
1550909973264,190.0,0.38758194,0.39090014,-0.3506651,0.09535217,-0.3784027,0.56503296,-0.6263126,0.7406469,-0.13395645,0.20305271,0.2617994
1550909973364,195.0,-0.21814513,-0.88550305,0.33259773,-0.24884033,-0.080566406,0.9857025,-0.5683007,0.79105675,-0.08736202,0.20888124,0.2617994
1550909973464,203.0,-0.21814513,-0.88550305,0.33259773,-0.24884033,-0.080566406,0.9857025,-0.5683007,0.79105675,-0.08736202,0.20888124,0.2617994
1550909973565,209.0,-0.5178745,-0.10576224,0.077791214,0.26579285,0.20817566,1.0997467,-0.47790474,0.8459567,-0.09427915,0.21696946,0.2617994
1550909973665,215.0,-0.5178745,-0.10576224,0.077791214,0.26579285,0.20817566,1.0997467,-0.47790474,0.8459567,-0.09427915,0.21696946,0.2617994
1550909973766,227.0,0.4762385,0.08475852,-0.09030533,0.428833,0.07028198,1.4607544,-0.34868354,0.89980185,-0.099087395,0.2428128,0.2617994
1550909973866,241.0,0.4762385,0.08475852,-0.09030533,0.428833,0.07028198,1.4607544,-0.34868354,0.89980185,-0.099087395,0.2428128,0.2617994
1550909973967,249.0,0.7946596,-1.3762816,-0.3569498,0.035064697,-0.13754272,1.9185638,-0.1799763,0.9442689,-0.050275106,0.27099308,0.2617994
1550909974067,258.0,0.7946596,-1.3762816,-0.3569498,0.035064697,-0.13754272,1.9185638,-0.1799763,0.9442689,-0.050275106,0.27099308,0.2617994
1550909974167,269.0,-0.061611176,-0.7709242,-0.11123943,0.055770874,-0.13839722,1.4379578,-0.050510935,0.95573276,-0.01276291,0.289587,0.2617994
1550909974267,278.0,-0.061611176,-0.7709242,-0.11123943,0.055770874,-0.13839722,1.4379578,-0.050510935,0.95573276,-0.01276291,0.289587,0.2617994
