Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550906784668,130.0,0.0014330745,-8.4656477E-4,-6.093979E-4,7.019043E-4,-1.5258789E-5,9.1552734E-5,0.043764032,0.017558679,-0.33942726,0.9394496,0.2617994
1550906784769,130.0,0.0014330745,-8.4656477E-4,-6.093979E-4,7.019043E-4,-1.5258789E-5,9.1552734E-5,0.043764032,0.017558679,-0.33942726,0.9394496,0.2617994
1550906784869,130.0,0.0014330745,-8.4656477E-4,-6.093979E-4,7.019043E-4,-1.5258789E-5,9.1552734E-5,0.043764032,0.017558679,-0.33942726,0.9394496,0.2617994
1550906784970,130.0,0.0021093488,-0.0028119683,-0.0022802353,2.1362305E-4,-1.5258789E-5,4.5776367E-4,0.04379913,0.01732831,-0.3432936,0.9380463,0.2617994
1550906785069,130.0,0.0021093488,-0.0028119683,-0.0022802353,2.1362305E-4,-1.5258789E-5,4.5776367E-4,0.04379913,0.01732831,-0.3432936,0.9380463,0.2617994
1550906785169,130.0,-4.7928095E-4,-3.0106306E-4,-0.0022764206,3.8146973E-4,3.0517578E-5,3.0517578E-5,0.043744456,0.017569518,-0.3382418,0.93987775,0.2617994
1550906785269,130.0,-4.7928095E-4,-3.0106306E-4,-0.0022764206,3.8146973E-4,3.0517578E-5,3.0517578E-5,0.043744456,0.017569518,-0.3382418,0.93987775,0.2617994
1550906785369,130.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
1550906785469,129.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
1550906785569,129.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
1550906785670,129.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
1550906785770,129.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
1550906785871,129.0,2.669692E-4,-0.0020760298,0.0015497208,2.1362305E-4,1.9836426E-4,-1.5258789E-5,0.043634553,0.01779235,-0.3339146,0.9414247,0.2617994
