Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550904088114,102.0,-0.0023830235,-0.0021615624,3.6239624E-5,4.4250488E-4,-0.0022277832,1.5258789E-4,0.036792602,-0.024942605,-0.106605574,0.9933073,0.2617994
1550904088214,103.0,-0.0021812022,0.0020532012,8.2302094E-4,-9.1552734E-5,-1.5258789E-4,4.7302246E-4,0.036742996,-0.025114644,-0.106178656,0.99335057,0.2617994
1550904088315,103.0,-0.0021812022,0.0020532012,8.2302094E-4,-9.1552734E-5,-1.5258789E-4,4.7302246E-4,0.036742996,-0.025114644,-0.106178656,0.99335057,0.2617994
1550904088415,103.0,-0.0021812022,0.0020532012,8.2302094E-4,1.2207031E-4,1.0681152E-4,2.593994E-4,0.036742996,-0.025114644,-0.106178656,0.99335057,0.2617994
1550904088515,103.0,-0.0021812022,0.0020532012,8.2302094E-4,1.2207031E-4,1.0681152E-4,2.593994E-4,0.036742996,-0.025114644,-0.106178656,0.99335057,0.2617994
1550904088615,102.0,0.0,0.0,-0.0,6.1035156E-5,-2.1362305E-4,3.0517578E-4,0.036597036,-0.025073174,-0.10985618,0.992957,0.2617994
1550904088716,102.0,0.0,0.0,-0.0,6.1035156E-5,-2.1362305E-4,3.0517578E-4,0.036597036,-0.025073174,-0.10985618,0.992957,0.2617994
1550904088816,102.0,-0.0024089813,-6.3943863E-4,-0.0026111603,1.6784668E-4,-3.6621094E-4,1.5258789E-4,0.036666296,-0.024896905,-0.10722727,0.9932462,0.2617994
1550904088915,102.0,-0.0024089813,-6.3943863E-4,-0.0026111603,1.6784668E-4,-3.6621094E-4,1.5258789E-4,0.036666296,-0.024896905,-0.10722727,0.9932462,0.2617994
1550904089016,102.0,-0.0026316345,0.0026928782,-0.0050783157,6.1035156E-5,-4.5776367E-5,9.1552734E-5,0.03675476,-0.024852088,-0.1072903,0.99323726,0.2617994
1550904089115,101.0,-0.0026316345,0.0026928782,-0.0050783157,6.1035156E-5,-4.5776367E-5,9.1552734E-5,0.03675476,-0.024852088,-0.1072903,0.99323726,0.2617994
1550904089215,101.0,0.0028716326,-0.002612412,-0.0036649704,3.3569336E-4,-2.1362305E-4,3.6621094E-4,0.036720846,-0.024944544,-0.10713634,0.9932528,0.2617994
1550904089316,101.0,0.0028716326,-0.002612412,-0.0036649704,3.3569336E-4,-2.1362305E-4,3.6621094E-4,0.036720846,-0.024944544,-0.10713634,0.9932528,0.2617994
1550904089415,101.0,-0.0048695803,-0.0015063882,-1.5544891E-4,-4.5776367E-5,-0.0010070801,4.119873E-4,0.03667813,-0.02492208,-0.10718195,0.99325,0.2617994
1550904089516,101.0,-0.0048695803,-0.0015063882,-1.5544891E-4,-4.5776367E-5,-0.0010070801,4.119873E-4,0.03667813,-0.02492208,-0.10718195,0.99325,0.2617994
1550904089616,100.0,-4.581213E-4,-0.0011532903,-0.0037603378,1.2207031E-4,-4.5776367E-5,1.9836426E-4,0.036667857,-0.024919739,-0.10718764,0.99324983,0.2617994
1550904089716,100.0,-4.581213E-4,-0.0011532903,-0.0037603378,1.2207031E-4,-4.5776367E-5,1.9836426E-4,0.036667857,-0.024919739,-0.10718764,0.99324983,0.2617994
1550904089817,100.0,4.3725967E-4,0.0027264953,0.0034723282,2.746582E-4,-7.4768066E-4,3.6621094E-4,0.03675082,-0.025007904,-0.10702226,0.9932624,0.2617994
1550904089917,100.0,4.3725967E-4,0.0027264953,0.0034723282,2.746582E-4,-7.4768066E-4,3.6621094E-4,0.03675082,-0.025007904,-0.10702226,0.9932624,0.2617994
1550904090016,100.0,-0.0063489377,0.005298674,0.0018968582,-9.1552734E-5,-0.0012664795,2.593994E-4,0.03687451,-0.024986692,-0.10703897,0.99325657,0.2617994
1550904090117,100.0,-0.0063489377,0.005298674,0.0018968582,-9.1552734E-5,-0.0012664795,2.593994E-4,0.03687451,-0.024986692,-0.10703897,0.99325657,0.2617994
1550904090217,100.0,-0.002635032,-0.0026222467,0.0014381409,-4.5776367E-5,-4.7302246E-4,1.9836426E-4,0.036800902,-0.024961354,-0.10709448,0.99325395,0.2617994
1550904090317,100.0,-0.002635032,-0.0026222467,0.0014381409,-4.5776367E-5,-4.7302246E-4,1.9836426E-4,0.036800902,-0.024961354,-0.10709448,0.99325395,0.2617994
1550904090418,100.0,0.0032117665,9.457469E-4,-0.0034914017,-4.119873E-4,0.0047454834,0.0012664795,0.03681038,-0.024603605,-0.10770963,0.993196,0.2617994
1550904090518,100.0,0.0032117665,9.457469E-4,-0.0034914017,-4.119873E-4,0.0047454834,0.0012664795,0.03681038,-0.024603605,-0.10770963,0.993196,0.2617994
1550904090618,100.0,0.0024352968,3.3551455E-4,-0.0017147064,2.2888184E-4,9.613037E-4,9.1552734E-5,0.036847,-0.024577053,-0.10774945,0.993191,0.2617994
1550904090718,100.0,0.0024352968,3.3551455E-4,-0.0017147064,2.2888184E-4,9.613037E-4,9.1552734E-5,0.036847,-0.024577053,-0.10774945,0.993191,0.2617994
1550904090818,100.0,-0.007080704,-0.005131662,0.0014219284,-3.0517578E-4,-7.9345703E-4,4.5776367E-5,0.036689978,-0.02446623,-0.10796596,0.99317604,0.2617994
1550904090918,100.0,-0.007080704,-0.005131662,0.0014219284,-3.0517578E-4,-7.9345703E-4,4.5776367E-5,0.036689978,-0.02446623,-0.10796596,0.99317604,0.2617994
1550904091019,100.0,-0.005055338,6.644726E-4,-0.0014162064,-4.5776367E-5,-5.79834E-4,5.187988E-4,0.03670783,-0.024406543,-0.108065926,0.99316597,0.2617994
1550904091118,100.0,-0.005055338,6.644726E-4,-0.0014162064,-4.5776367E-5,-5.79834E-4,5.187988E-4,0.03670783,-0.024406543,-0.108065926,0.99316597,0.2617994
1550904091218,100.0,-6.211996E-4,-5.4961443E-4,8.249283E-4,1.6784668E-4,-4.5776367E-5,5.79834E-4,0.03670727,-0.024399443,-0.10807825,0.99316484,0.2617994
1550904091318,100.0,-6.211996E-4,-5.4961443E-4,8.249283E-4,1.6784668E-4,-4.5776367E-5,5.79834E-4,0.03670727,-0.024399443,-0.10807825,0.99316484,0.2617994
1550904091419,100.0,-6.211996E-4,-5.4961443E-4,8.249283E-4,1.6784668E-4,-4.5776367E-5,5.79834E-4,0.03670727,-0.024399443,-0.10807825,0.99316484,0.2617994
1550904091519,100.0,-0.0057199895,-0.0040607452,-0.0016536713,-9.1552734E-5,-6.2561035E-4,1.9836426E-4,0.03660299,-0.024314504,-0.10824167,0.9931529,0.2617994
1550904091620,100.0,-0.0057199895,-0.0040607452,-0.0016536713,-9.1552734E-5,-6.2561035E-4,1.9836426E-4,0.03660299,-0.024314504,-0.10824167,0.9931529,0.2617994
1550904091719,100.0,-0.010789663,-0.006987512,0.003727913,9.613037E-4,-0.0049438477,1.9836426E-4,0.036499556,-0.024511302,-0.10791924,0.993187,0.2617994
1550904091819,100.0,-0.010789663,-0.006987512,0.003727913,9.613037E-4,-0.0049438477,1.9836426E-4,0.036499556,-0.024511302,-0.10791924,0.993187,0.2617994
1550904091919,100.0,-0.010789663,-0.006987512,0.003727913,9.613037E-4,-0.0049438477,1.9836426E-4,0.036499556,-0.024511302,-0.10791924,0.993187,0.2617994
1550904092019,100.0,-0.010789663,-0.006987512,0.003727913,9.613037E-4,-0.0049438477,1.9836426E-4,0.036499556,-0.024511302,-0.10791924,0.993187,0.2617994
1550904092119,100.0,-0.010789663,-0.006987512,0.003727913,9.613037E-4,-0.0049438477,1.9836426E-4,0.036499556,-0.024511302,-0.10791924,0.993187,0.2617994
